Probe ID,Gene Symbol,Gene ID
1553538_s_at,MTCO1,
1553539_at,KRT6IRS4,
1553540_a_at,SLC29A2,3177
1553541_at,LMX1A,
1553542_at,KENAE,
1553544_at,GPR101,83550
1553545_at,,
1553546_at,,55478
1553547_at,,55469
1553549_at,VN1R2,317701
1553550_at,VN1R5,317705
1553551_s_at,MTND2,
1553552_at,GPR102,83551
1553553_at,TAS2R39,
1553555_at,TAS2R38,
1553556_at,TAS2R40,
1553558_at,TAS2R41,
1553559_at,,
1553560_at,VN1R4,317703
1553561_at,TAS2R50,
1553562_at,CD8B1,
1553564_at,,140733
1553565_s_at,DDAH1,23576
1553566_at,,196500
1553567_s_at,MTATP6,
1553568_a_at,HIST1H1T,3010
1553569_at,MTCO2,
1553570_x_at,MTCO2,
1553572_a_at,CYGB,114757
1553573_s_at,EFNA2,
1553574_at,IFNT1,
1553575_at,MTND6,
1553579_a_at,SPAG11,10407
1553581_s_at,,
1553582_a_at,SPAG11,10407
1553583_a_at,THRSP,7069
1553584_at,,
1553585_a_at,MAGEA5,4104
1553586_at,,
1553587_a_at,POLE4,56655
1553588_at,MTND3,
1553589_a_at,DD96,10158
1553590_at,,
1553591_at,,
1553592_x_at,,
1553593_a_at,TAL2,6887
1553594_a_at,INSL3,3640
1553599_a_at,SYCP3,50511
1553600_at,TMIE,259236
1553601_a_at,TMIE,259236
1553602_at,LOC118430,118430
1553603_s_at,,64225
1553604_at,,206568
1553605_a_at,,206568
1553607_at,,193629
1553608_a_at,,193629
1553611_s_at,,283212
1553612_at,,117608
1553613_s_at,FOXC1,2296
1553614_a_at,,283492
1553618_at,,129868
1553619_a_at,,129868
1553620_at,TRIM42,287015
1553622_a_at,,161835
1553623_at,,84843
1553625_at,,283742
1553626_a_at,,124989
1553627_s_at,,124989
1553629_a_at,,153745
1553630_at,,219621
1553633_s_at,,150159
1553634_a_at,,285962
1553635_s_at,,200132
1553636_at,,145942
1553637_s_at,,145942
1553639_a_at,PERC,133522
1553640_at,,286046
1553641_a_at,,114960
1553642_at,,158055
1553644_at,,161176
1553645_at,,285025
1553646_at,,139324
1553647_at,,124359
1553651_at,,162681
1553652_a_at,,162681
1553654_at,,255928
1553655_at,,166979
1553656_at,TECTB,6975
1553657_at,,283844
1553658_at,,150197
1553660_at,HUS1b,135458
1553661_a_at,HUS1b,135458
1553663_a_at,NPB,256933
1553666_at,,91057
1553668_at,,84859
1553670_at,,92105
1553672_at,,113521
1553673_at,,140901
1553674_at,,127255
1553675_at,,89953
1553677_a_at,,261726
1553678_a_at,ITGB1,3688
1553679_s_at,,154807
1553681_a_at,PRF1,5551
1553682_at,,144699
1553683_s_at,,144699
1553684_at,,285755
1553685_s_at,,144467
1553686_at,,147339
1553688_at,,131965
1553689_s_at,,131965
1553690_at,,151648
1553691_at,,148789
1553693_s_at,,84869
1553694_a_at,PIK3C2A,5286
1553695_a_at,,79671
1553696_s_at,,148266
1553697_at,,126731
1553698_a_at,,126731
1553701_a_at,,150290
1553702_at,,90874
1553703_at,,163049
1553704_x_at,,163049
1553705_a_at,CHRM3,1131
1553706_at,,203100
1553708_at,,84847
1553709_a_at,,84950
1553710_at,,152756
1553711_a_at,,152756
1553713_a_at,,121268
1553715_s_at,,84331
1553717_at,,154881
1553718_at,,147694
1553719_s_at,,147694
1553720_a_at,,219287
1553721_at,,220441
1553722_s_at,,220441
1553723_at,GPR-97,222487
1553725_s_at,,51570
1553726_s_at,,221322
1553727_at,,283358
1553728_at,,254050
1553729_s_at,,254050
1553730_x_at,,254050
1553732_s_at,,84902
1553734_at,,122481
1553736_at,,196441
