"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BAPX1",-1.53492338972389,83.4822186337435,-1.68019907133263,0.0981030148652118,0.139558584335788,-4.51269786229647
"LOC652860",-1.7577000629058,84.2486815747516,-1.6801832239686,0.0981061127581667,0.139558584335788,-4.51272120639217
"TTC29",-2.45792893891398,88.0175830914517,-1.67977649522669,0.0981856487951941,0.139665385842955,-4.51332027372251
"MIR1284",1.20907795264092,82.7699971383018,1.67956628541436,0.0982267761329749,0.139715936371024,-4.5136298387174
"MMP3",1.75634730740716,84.0337169371653,1.67954927926975,0.0982301039846066,0.139715936371024,-4.51365488124955
"OLR1",20.5192823122374,161.415095458076,1.67928584242388,0.0982816664801759,0.139782930302294,-4.51404277804582
"GNA11",2.76177279211881,96.3473733698541,1.67897409109586,0.0983427141942903,0.139863408068441,-4.51450174446877
"OCIAD1",89.4617420412936,5933.26476023057,1.67878579193805,0.098379602314117,0.13990952021561,-4.51477892495884
"LOC100134363",-79.9102283705152,2930.26367278525,-1.67836997131959,0.098461102393504,0.140019069728513,-4.51539092271082
"OR6B2",1.49647264159421,83.1402661379338,1.67831631479511,0.0984716229986355,0.140024018673134,-4.51546988351598
"LOC643130",-1.79220599964054,90.342064919668,-1.6783066403605,0.0984735199936552,0.140024018673134,-4.51548412014714
"XAGE3",1.52846164431264,83.0455275745064,1.67823748410769,0.09848708125079,0.140035629004238,-4.51558588642588
"DKFZp434I1020",-1.97275350475164,87.6964760230571,-1.67821942230281,0.0984906233482925,0.140035629004238,-4.51561246449393
"LOC727916",1.47175234773427,82.9401721107068,1.67817585049217,0.0984991686378989,0.140041424297832,-4.51567657964618
"LOC100130859",-1.27932519489564,83.5995094231634,-1.67809852617606,0.0985143349521877,0.140056632095819,-4.51579035731965
"LOC81691",-1.44999634921705,83.1487878663996,-1.67798333155598,0.0985369326549096,0.140082403149083,-4.51595984989927
"CCL8",1.5015727853789,88.0505396345203,1.67784815600457,0.0985634554226381,0.140113751574854,-4.51615872820885
"LOC100129315",-1.70668360068298,89.4818547892564,-1.67770231574026,0.0985920772639799,0.140148080977614,-4.51637328087221
"NKD2",1.64971144773202,85.2293385388987,1.67754466452514,0.0986230247110705,0.140181482999749,-4.51660519027616
"TTPA",-1.50406472557345,83.8564224684191,-1.67752667450921,0.0986265567151289,0.140181482999749,-4.51663165284976
"LOC643813",-1.60400813843769,84.3598544622051,-1.67751424828768,0.0986289964323885,0.140181482999749,-4.51664993116114
"MIR370",-1.80091339781178,89.3659396590491,-1.67706342516967,0.0987175427426952,0.140300969941471,-4.51731298541504
"ACOT6",-1.62447765720833,89.9890376517722,-1.67692082189964,0.0987455650355564,0.140334431006174,-4.51752268765363
"LOC100134674",4.30711776302488,112.08163811782,1.67677725465096,0.0987737833305251,0.140362440119876,-4.5177337912019
"LOC100034248",1.50599711307317,83.8475655124484,1.67677496910011,0.0987742326113251,0.140362440119876,-4.51773715178011
"FABP9",-1.70169115499539,85.3095764686644,-1.67656599863026,0.0988153179240047,0.140414456116764,-4.51804439574219
"OVOS",1.44255099862955,90.7881341727648,1.67642910142846,0.0988422406199308,0.140446343532782,-4.51824565348583
"LOC652655",-1.50578845678596,85.0136686971097,-1.67567528224462,0.0989905969500087,0.140650767008188,-4.51935360593637
"LOC728951",1.44905318348273,85.7493152364989,1.67551309003255,0.0990225411960678,0.140689775362183,-4.51959193491595
"HIRIP3",2.66391931208016,107.256042271371,1.67546793355724,0.099031436400983,0.140696033923754,-4.51965828517891
"POLG2",3.00602421311586,99.7381484812559,1.67516184037138,0.0990917497866054,0.140773921392671,-4.52010799792908
"ARVCF",2.36922769090787,94.3420444789665,1.67514411034755,0.0990952442764452,0.140773921392671,-4.52013404464587
"D4S234E",-21.1467864685134,161.211342545276,-1.67500349618183,0.0991229621228268,0.140800810892217,-4.52034060845003
"LOC441155",8.55721942328864,171.755183761907,1.67500249374563,0.099123159745689,0.140800810892217,-4.52034208098402
"NARFL",-1.38472189458786,86.8498466947386,-1.67480231419491,0.0991626301184517,0.140850491937061,-4.52063611986526
"GDPD2",2.89305635123902,97.3818568333265,1.67369038371933,0.0993821089520153,0.141155840709961,-4.52226883026729
"LOC728395",1.79076028959134,89.9106741343363,1.67346772886274,0.0994261054761998,0.141211929516419,-4.52259564940017
"LHX9",-1.86285735548516,87.1916152242345,-1.67330189902492,0.0994588837445743,0.141252081006776,-4.52283903365914
"RAB6B",-16.7133655163892,184.420125914721,-1.67314161829434,0.0994905735629989,0.141290683104741,-4.52307425294785
"LOC646568",-10.4965470614006,167.836967008708,-1.67292573580033,0.0995332697041845,0.141344911530066,-4.52339103822326
"LOC388849",3.43075082563861,106.311745227096,1.67289509937068,0.099539330035214,0.141347111724979,-4.52343599103219
"LOC401317",-2.04445684774549,87.4931646294101,-1.67250143682257,0.099617229060434,0.141451318954984,-4.52401354566719
"LOC401052",-1.72788116982319,88.7145292506439,-1.67231911517885,0.0996533242534972,0.14149616014859,-4.52428099388659
"LOC390183",19.4773925265665,360.254061567393,1.67178068260981,0.0997599830616624,0.141641184886226,-4.52507066877956
"MCART6",-1.86312947922985,87.1055087690609,-1.67167409914211,0.0997811073816126,0.141664758436586,-4.52522695879656
"DEAF1",-23.8610153950709,442.737424880422,-1.67155554899463,0.0998046077345051,0.141687435857816,-4.52540078574019
"LOC100128304",-1.37446782817731,82.6522893585708,-1.6715374559393,0.0998081947428066,0.141687435857816,-4.52542731412963
"PCYOX1L",-1.78234818359507,93.2255120395732,-1.67151725106582,0.0998122005506318,0.141687435857816,-4.52545693860155
"GABARAPL2",-17.2893668138213,410.253057928948,-1.67150228640297,0.0998151675217157,0.141687435857816,-4.52547887964588
"FGD3",2.48589800835749,102.10710723192,1.67120222654649,0.0998746741519383,0.141765483120128,-4.52591878709088
"IDS",-68.9633108950597,769.403008871264,-1.67116575647062,0.0998819087228379,0.141769329947518,-4.52597224975693
"NEURL4",-2.49933864662667,98.2468194268427,-1.67062550753244,0.0999891281183138,0.14191508540378,-4.52676409482401
"LOC649527",-1.25243212352003,84.0944687461674,-1.67055801432377,0.100002529627652,0.141927677477709,-4.52686300365382
"EXOSC7",7.83608138999348,164.075814561956,1.67020182662773,0.100073278882786,0.142021654989502,-4.52738492394591
"ZBTB17",1.73548771651951,91.4158742488042,1.67007764148692,0.100097955286371,0.142050241437643,-4.52756686827427
"CCRK",2.43217729886994,95.6842586157557,1.66997023253569,0.100119302161439,0.142074100535598,-4.52772422386526
"ATOH8",8.76634062366606,124.953583254977,1.66978640605433,0.100155845188268,0.142119520565583,-4.52799351098856
